iter	RMSE
0	763.089998
1	667.7219747
2	581.7778536
3	513.8903357
4	448.0339965
5	395.5717308
6	351.1665579
7	316.3367408
8	285.1917662
9	260.4139436
10	239.8871465
11	222.6507093
12	206.8033306
13	194.7160929
14	183.58926
15	175.9899185
16	169.3466675
17	161.993333
18	154.839862
19	149.9584974
20	146.4041098
21	141.5694698
22	138.4066921
23	134.3193715
24	132.4859252
25	130.0851014
26	128.0242046
27	126.997218
28	125.8777256
29	124.8313207
30	124.0750311
31	123.4094054
32	122.6913959
33	121.8423822
34	121.0495712
35	120.5427194
36	120.1289428
37	119.7363299
38	119.3722126
39	119.045164
40	116.1469615
41	114.7700215
42	113.2132324
43	112.613036
44	112.3457394
45	112.0924217
46	111.6510012
47	108.6587233
48	107.0987316
49	106.6024791
50	106.1411516
51	103.9672293
52	103.5226872
53	102.9122586
54	102.3253208
55	102.1791473
56	101.7073777
57	101.675719
58	101.3878384
59	99.83169608
60	99.64350697
61	99.41179082
62	98.61050349
63	98.35735466
64	97.94370792
65	97.66530126
66	96.03897951
67	94.8964731
68	94.75624125
69	94.11930818
70	93.80727759
71	93.52081647
72	92.98451663
73	92.0718385
74	91.88407271
75	91.8290778
76	91.59919033
77	91.47056399
78	91.43288488
79	91.37426429
80	91.29726292
81	91.2646078
82	90.66696953
83	90.41820098
84	89.99245501
85	89.65360651
86	89.62705787
87	89.60247951
88	89.593959
89	89.19304554
90	88.97630536
91	88.75700416
92	88.74827651
93	88.71899903
94	88.39292216
95	87.67894281
96	87.65889186
97	87.48224442
98	87.33264992
99	87.30934876
100	86.98763551
101	86.96815895
102	86.77638283
103	86.75227847
104	86.49916901
105	86.31765835
106	85.94245947
107	85.36483144
108	85.3426728
109	85.17494251
110	85.1664134
111	85.06845459
112	84.81908616
113	84.65921824
114	83.58409926
115	83.58093403
116	82.93207361
117	82.89060296
118	82.32966425
119	82.07657905
120	82.05252301
121	81.85299684
122	81.29076833
123	81.28739836
124	80.9188171
125	80.68696372
126	80.59573624
127	80.44475903
128	80.42397719
129	80.37326744
130	80.27085649
131	79.90203516
132	79.83228565
133	79.71572527
134	79.30510106
135	79.28670975
136	79.19796766
137	79.19337995
138	78.80165023
139	78.56064127
140	78.54349947
141	78.03687363
142	77.87361779
143	77.6815914
144	77.33249256
145	77.00882159
146	76.89368162
147	76.75004743
148	76.66198705
149	76.6593966
150	76.59826932
151	76.4060417
152	76.11767595
153	75.92417446
154	75.63385275
155	75.42707431
156	75.09691696
157	74.98441689
158	74.66640355
159	74.52351403
160	74.24283881
161	74.02525208
162	73.84847926
163	73.81360356
164	73.79630825
165	73.66796368
166	73.64801709
167	73.63449757
168	73.5171049
169	73.40974145
170	73.28429787
171	73.26936037
172	73.13736958
173	72.98835617
174	72.70101994
175	72.60649327
176	72.51844291
177	72.50463128
178	72.49970339
179	72.41944183
180	72.30048365
181	72.26534926
182	72.02462109
183	72.01002764
184	71.7700219
185	71.76602864
186	71.75410457
187	71.69089882
188	71.68687322
189	71.66421237
190	71.50223161
191	71.48914293
192	71.40660635
193	71.24103557
194	71.2289267
195	71.21915162
196	71.1769819
197	71.09027173
198	70.81132506
199	70.60733074
200	70.36494506
201	70.13375566
202	69.95214239
203	69.73992293
204	69.4872758
205	69.37074444
206	69.35121682
207	69.34034704
208	69.26384484
209	69.25454528
210	69.14837365
211	69.08394175
212	69.06407406
213	68.90771096
214	68.89761684
215	68.87925917
216	68.86917441
217	68.82585398
218	68.72478713
219	68.71836588
220	68.70551744
221	68.68725762
222	68.55296163
223	68.54481777
224	68.48893599
225	68.48530179
226	68.43039307
227	68.32409266
228	68.26988399
229	68.26755552
230	68.13884769
231	68.11970153
232	68.11724861
233	68.0754164
234	68.06685545
235	68.05999562
236	68.05642125
237	67.92436868
238	67.84136075
239	67.83189689
240	67.75763721
241	67.74094224
242	67.62623854
243	67.46108473
244	67.31065146
245	67.26922481
246	67.23128935
247	67.14446095
248	67.1384548
249	67.13186566
250	66.95202604
251	66.80571359
252	66.62640098
253	66.51975261
254	66.4026589
255	66.28861468
256	66.10775027
257	65.96552377
258	65.88834584
259	65.77442947
260	65.67258156
261	65.50590151
262	65.41419298
263	65.32408182
264	65.25045006
265	65.11248293
266	65.02579486
267	64.94590092
268	64.87532911
269	64.74829234
270	64.67074653
271	64.55410856
272	64.49654141
273	64.4314613
274	64.32403353
275	64.24654529
276	64.20373934
277	64.08896712
278	64.04980632
279	63.99318864
280	63.95991043
281	63.91756121
282	63.90162415
283	63.87318356
284	63.84732133
285	63.75522724
286	63.67556764
287	63.65273249
288	63.58103731
289	63.57430043
290	63.55071195
291	63.44984471
292	63.39148483
293	63.36503622
294	63.3415174
295	63.24358213
296	63.19320456
297	63.12976134
298	63.06945675
299	63.05649397
300	63.02957928
301	62.98357349
302	62.97218164
303	62.94792303
304	62.87914929
305	62.87214757
306	62.85034615
307	62.84216987
308	62.80052681
309	62.74592569
310	62.64705248
311	62.6373563
312	62.63493832
313	62.62956773
314	62.62675585
315	62.57253009
316	62.5633828
317	62.53652153
318	62.50309797
319	62.48507588
320	62.45641471
321	62.4206244
322	62.41566064
323	62.4127593
324	62.38135279
325	62.37330589
326	62.34998096
327	62.34731913
328	62.34545542
329	62.34287614
330	62.33899947
331	62.30957375
332	62.25759977
333	62.25331406
334	62.2326046
335	62.17938062
336	62.14056855
337	62.1312007
338	62.099235
339	62.09514927
340	62.08870515
341	62.07371304
342	62.04205212
343	62.02358993
344	61.97558841
345	61.96798627
346	61.9346251
347	61.90299982
348	61.87692817
349	61.85934243
350	61.85555456
351	61.83754741
352	61.82305799
353	61.81664517
354	61.77484014
355	61.74428835
356	61.73042189
357	61.72651957
358	61.70731734
359	61.68998949
360	61.68702656
361	61.68551807
362	61.6550682
363	61.62798706
364	61.60803249
365	61.60511999
366	61.59283965
367	61.59187982
368	61.58963211
369	61.56587405
370	61.54768219
371	61.54484733
372	61.5232857
373	61.5068156
374	61.50457874
375	61.49813843
376	61.49448021
377	61.48256532
378	61.44502482
379	61.43751681
380	61.43278692
381	61.42908021
382	61.41417769
383	61.41080633
384	61.3810242
385	61.3026074
386	61.28995353
387	61.28886654
388	61.23719149
389	61.17887728
390	61.17443334
391	61.17209403
392	61.14721312
393	61.10655707
394	61.0994921
395	61.09427842
396	61.09204005
397	61.09021272
398	61.07992924
399	61.06314231
400	61.06032547
401	61.01760136
402	61.0165994
403	61.00534884
404	60.95412172
405	60.86315619
406	60.8572071
407	60.85229532
408	60.80264739
409	60.80135749
410	60.76608462
411	60.7584886
412	60.72331301
413	60.68538242
414	60.63941133
415	60.63846618
416	60.60921527
417	60.60835399
418	60.60481733
419	60.60377067
420	60.58958893
421	60.57785457
422	60.57013705
423	60.55566938
424	60.5509281
425	60.50700293
426	60.49868658
427	60.49457197
428	60.49418521
429	60.48060423
430	60.47981414
431	60.45671599
432	60.43442943
433	60.41437198
434	60.40979787
435	60.40755555
436	60.39193454
437	60.39091317
438	60.3554028
439	60.33966134
440	60.27301439
441	60.23827546
442	60.2374329
443	60.23670448
444	60.21780454
445	60.21445559
446	60.17961367
447	60.17632579
448	60.17106942
449	60.13768548
450	60.07534442
451	60.02266045
452	60.01372013
453	60.01173909
454	60.0110594
455	60.00990072
456	59.98973011
457	59.98575028
458	59.98252321
459	59.97003111
460	59.96194817
461	59.95917806
462	59.95476165
463	59.95407135
464	59.95329933
465	59.93707604
466	59.93519088
467	59.91681947
468	59.89981862
469	59.88689682
470	59.88627697
471	59.88018694
472	59.87560905
473	59.83932545
474	59.82486255
475	59.82409999
476	59.81177179
477	59.80245207
478	59.78296264
479	59.78226073
480	59.77951599
481	59.76244802
482	59.75647404
483	59.75325586
484	59.75080755
485	59.74753634
486	59.73206703
487	59.72039437
488	59.70225651
489	59.67758183
490	59.62736554
491	59.58685337
492	59.58656484
493	59.5844002
494	59.56471853
495	59.52856331
496	59.51116934
497	59.49483657
498	59.47633987
499	59.44484014
500	59.39039276
501	59.36637553
502	59.36334798
503	59.3606435
504	59.35919468
505	59.31094047
506	59.29490097
507	59.28471186
508	59.28411924
509	59.24081983
510	59.2393386
511	59.20781389
512	59.17874332
513	59.17203682
514	59.12776608
515	59.11770482
516	59.11493636
517	59.09058496
518	59.09003805
519	59.08424522
520	59.06436573
521	59.02446169
522	59.01338562
523	59.00292971
524	58.9678385
525	58.95892318
526	58.9509635
527	58.94484875
528	58.94273719
529	58.92244286
530	58.91166617
531	58.89329779
532	58.88373516
533	58.86567018
534	58.8646878
535	58.85480767
536	58.85203423
537	58.8278024
538	58.81740416
539	58.81371879
540	58.81246648
541	58.78254536
542	58.7820021
543	58.77333182
544	58.76420367
545	58.75494296
546	58.73747063
547	58.72751076
548	58.72695696
549	58.71491108
550	58.70395845
551	58.69398887
552	58.6634922
553	58.66036795
554	58.65985345
555	58.64414754
556	58.64103777
557	58.63856616
558	58.62561061
559	58.61274828
560	58.61051546
561	58.59641013
562	58.59322238
563	58.5821658
564	58.5544496
565	58.5525443
566	58.54885517
567	58.53616625
568	58.53563028
569	58.5350376
570	58.52643051
571	58.5009896
572	58.48273318
573	58.48065352
574	58.47701475
575	58.46737475
576	58.45588512
577	58.44767089
578	58.4239768
579	58.41159349
580	58.40260328
581	58.40143835
582	58.37412296
583	58.3682486
584	58.35960685
585	58.35651277
586	58.34455548
587	58.34171219
588	58.33852207
589	58.3370369
590	58.33573019
591	58.33457894
592	58.3332391
593	58.33232745
594	58.33122354
595	58.3304982
596	58.32958142
597	58.32754418
598	58.31968949
599	58.31667463
600	58.29273947
601	58.28702143
602	58.27784279
603	58.27506793
604	58.27242058
605	58.26732124
606	58.26499703
607	58.25643536
608	58.25105057
609	58.24969299
610	58.24179335
611	58.23720763
612	58.2313132
613	58.22505607
614	58.20508307
615	58.20453935
616	58.20226836
617	58.19663024
618	58.17923682
619	58.17327253
620	58.17283896
621	58.16148505
622	58.15957798
623	58.15295413
624	58.14260643
625	58.12737258
626	58.10881941
627	58.1077318
628	58.10732672
629	58.08119588
630	58.07950474
631	58.07292425
632	58.05573382
633	58.05288622
634	58.05137932
635	58.0496707
636	58.04927561
637	58.04384299
638	58.04288454
639	58.04153418
640	58.0284142
641	58.02280533
642	58.01545968
643	58.01514862
644	58.01486491
645	58.01396509
646	58.0134698
647	58.00988197
648	58.00514218
649	57.98939871
650	57.98259322
651	57.98208398
652	57.97765287
653	57.96602192
654	57.96504349
655	57.96465437
656	57.9642526
657	57.96130655
658	57.95738546
659	57.93469767
660	57.90642346
661	57.88030671
662	57.87366444
663	57.87275968
664	57.86773287
665	57.86633122
666	57.86091386
667	57.85764872
668	57.84564753
669	57.82796958
670	57.82743536
671	57.82419272
672	57.82371532
673	57.81969806
674	57.81924624
675	57.81366869
676	57.81345624
677	57.81256715
678	57.81124997
679	57.80389901
680	57.78180337
681	57.7725769
682	57.77129244
683	57.76831796
684	57.76557359
685	57.75044455
686	57.74069175
687	57.72741189
688	57.72699506
689	57.72668638
690	57.72414024
691	57.72290443
692	57.71051781
693	57.69652244
694	57.69175386
695	57.68906641
696	57.68827536
697	57.68366154
698	57.68339127
699	57.6804449
700	57.6755378
701	57.67062364
702	57.67009298
703	57.66650115
704	57.65454124
705	57.65153295
706	57.64848928
707	57.64743286
708	57.64600473
709	57.64570253
710	57.64058512
711	57.63976965
712	57.62330851
713	57.61712479
714	57.60305987
715	57.59780389
716	57.59733284
717	57.5960549
718	57.58345916
719	57.57529917
720	57.57461582
721	57.57183872
722	57.56943928
723	57.56783628
724	57.56574644
725	57.56070495
726	57.5590322
727	57.55872762
728	57.55790866
729	57.55452049
730	57.55149006
731	57.54337363
732	57.54307778
733	57.54122117
734	57.5408857
735	57.54035524
736	57.53006014
737	57.52452695
738	57.52379142
739	57.51320577
740	57.51037337
741	57.50778596
742	57.50284314
743	57.49587934
744	57.49573187
745	57.49097967
746	57.49063189
747	57.48174626
748	57.46748114
749	57.46722688
750	57.4645051
751	57.4638321
752	57.46138198
753	57.45907896
754	57.4588497
755	57.44862902
756	57.44656779
757	57.43635514
758	57.42917335
759	57.41715878
760	57.40715839
761	57.40659515
762	57.40022802
763	57.38938818
764	57.38784984
765	57.37809603
766	57.36930813
767	57.36908552
768	57.35952831
769	57.35883311
770	57.35830351
771	57.35564647
772	57.35428086
773	57.3528717
774	57.35150416
775	57.35120522
776	57.3501027
777	57.34158978
778	57.34136014
779	57.33678698
780	57.33454329
781	57.33231669
782	57.33214846
783	57.33162268
784	57.31623164
785	57.31590396
786	57.30991822
787	57.30377926
788	57.30020409
789	57.28599134
790	57.28054445
791	57.28013542
792	57.27921013
793	57.27898417
794	57.26586722
795	57.25957695
796	57.25177601
797	57.24870789
798	57.24356437
799	57.2433015
800	57.23924682
801	57.23908746
802	57.23830252
803	57.23237472
804	57.23212224
805	57.23034382
806	57.22461756
807	57.22038676
808	57.21586212
809	57.21550869
810	57.20893371
811	57.20850387
812	57.20535358
813	57.20493657
814	57.20474924
815	57.19630804
816	57.19612966
817	57.19595099
818	57.1953276
819	57.19505747
820	57.18726785
821	57.18515574
822	57.18140809
823	57.1795416
824	57.17944062
825	57.1779446
826	57.17759391
827	57.17198438
828	57.17153521
829	57.16635268
830	57.16616944
831	57.16247975
832	57.15812161
833	57.15416805
834	57.1497153
835	57.14608577
836	57.13672737
837	57.13343373
838	57.13270991
839	57.12821984
840	57.12719486
841	57.12520185
842	57.12437199
843	57.12236255
844	57.11652451
845	57.11639257
846	57.11612277
847	57.11600418
848	57.11541761
849	57.11523285
850	57.11423058
851	57.1139896
852	57.11365802
853	57.11120105
854	57.10788684
855	57.10724357
856	57.10439738
857	57.1038146
858	57.09803295
859	57.09782228
860	57.0965763
861	57.09100443
862	57.09007842
863	57.0861239
864	57.07838026
865	57.07655154
866	57.07488243
867	57.07335794
868	57.07277455
869	57.07138117
870	57.07119443
871	57.06992021
872	57.06875427
873	57.06826726
874	57.06535046
875	57.06484927
876	57.05793295
877	57.05686882
878	57.0552495
879	57.05488713
880	57.05451054
881	57.04747533
882	57.04382576
883	57.04246932
884	57.04124589
885	57.03921857
886	57.03884803
887	57.03850845
888	57.03642482
889	57.03500098
890	57.0339642
891	57.03368666
892	57.03357405
893	57.03323686
894	57.02946018
895	57.02934575
896	57.0284236
897	57.02703342
898	57.02644081
899	57.02524362
900	57.02426083
901	57.02415511
902	57.01979016
903	57.01685243
904	57.0115952
905	57.00967057
906	57.00327843
907	56.99738397
908	56.99205694
909	56.99191756
910	56.99165494
911	56.9915669
912	56.98754691
913	56.98573864
914	56.98550483
915	56.98533547
916	56.98515065
917	56.98292094
918	56.98208038
919	56.97747885
920	56.97667435
921	56.97627268
922	56.97312824
923	56.97116304
924	56.97108912
925	56.97070624
926	56.97062797
927	56.96881304
928	56.96863768
929	56.96183981
930	56.9615671
931	56.95687618
932	56.95572547
933	56.95560664
934	56.95212117
935	56.95178125
936	56.94678017
937	56.94238445
938	56.93658529
939	56.93099299
940	56.92731908
941	56.92312171
942	56.92027997
943	56.91860243
944	56.9158256
945	56.90894104
946	56.90342159
947	56.90101221
948	56.89521759
949	56.8945797
950	56.88866572
