iter	Passed	Remaining
352	1173	2150
353	1176	2146
354	1178	2141
355	1181	2136
356	1183	2131
357	1185	2126
358	1188	2121
359	1190	2117
360	1194	2113
361	1196	2108
362	1198	2103
363	1201	2098
364	1203	2093
365	1206	2089
366	1209	2086
367	1212	2082
368	1214	2077
369	1217	2072
370	1219	2067
371	1222	2064
372	1226	2062
373	1229	2058
374	1232	2054
375	1234	2049
376	1237	2044
377	1240	2041
378	1243	2036
379	1245	2032
380	1247	2027
381	1250	2022
382	1252	2017
383	1255	2014
384	1258	2010
385	1261	2006
386	1263	2001
387	1265	1996
388	1268	1992
389	1271	1988
390	1274	1984
391	1277	1980
392	1279	1976
393	1281	1971
394	1284	1966
395	1287	1963
396	1289	1958
397	1292	1954
398	1294	1949
399	1297	1945
400	1299	1941
401	1303	1938
402	1305	1934
403	1308	1930
404	1310	1925
405	1313	1921
406	1315	1916
407	1318	1913
408	1321	1908
409	1323	1904
410	1325	1900
411	1328	1895
412	1330	1891
413	1333	1887
414	1336	1884
415	1339	1880
416	1341	1876
417	1344	1871
418	1346	1867
419	1349	1863
420	1353	1860
421	1355	1857
422	1358	1852
423	1360	1848
424	1362	1843
425	1366	1840
426	1368	1836
427	1371	1832
428	1373	1828
429	1376	1824
430	1378	1820
431	1381	1817
432	1385	1813
433	1387	1809
434	1390	1805
435	1392	1801
436	1394	1796
437	1397	1793
438	1400	1789
439	1402	1785
440	1405	1781
441	1407	1776
442	1409	1772
443	1412	1768
444	1415	1765
445	1418	1762
446	1420	1757
447	1423	1753
448	1425	1749
449	1428	1745
450	1432	1743
451	1435	1740
452	1438	1737
453	1441	1733
454	1443	1729
455	1447	1726
456	1450	1723
457	1452	1719
458	1455	1715
459	1457	1711
460	1461	1708
461	1463	1704
462	1466	1700
463	1469	1696
464	1471	1693
465	1473	1688
466	1477	1686
467	1480	1682
468	1482	1678
469	1485	1674
470	1487	1670
471	1490	1667
472	1493	1663
473	1495	1659
474	1498	1655
475	1500	1651
476	1503	1647
477	1505	1644
478	1508	1640
479	1511	1637
480	1513	1633
481	1516	1629
482	1519	1625
483	1522	1622
484	1525	1619
485	1528	1616
486	1530	1612
487	1533	1608
488	1535	1604
489	1537	1600
490	1540	1597
491	1543	1594
492	1546	1590
493	1549	1586
494	1551	1582
495	1554	1579
496	1557	1576
497	1559	1572
498	1562	1568
499	1564	1564
500	1567	1560
501	1569	1557
502	1572	1554
503	1575	1550
504	1578	1546
505	1580	1543
506	1583	1539
507	1585	1535
508	1588	1532
509	1591	1528
510	1593	1525
511	1596	1521
512	1598	1517
513	1600	1513
514	1603	1510
515	1607	1507
516	1610	1504
517	1612	1500
518	1615	1497
519	1618	1493
520	1621	1490
521	1625	1488
522	1628	1485
523	1630	1481
524	1633	1477
525	1636	1474
526	1640	1472
527	1642	1468
528	1644	1464
529	1647	1460
530	1650	1457
531	1653	1454
532	1655	1450
533	1658	1446
534	1660	1443
535	1662	1439
536	1667	1437
537	1670	1434
538	1672	1430
539	1674	1426
540	1677	1423
541	1679	1419
542	1683	1416
543	1685	1412
544	1687	1409
545	1690	1405
546	1692	1401
547	1695	1398
548	1698	1395
549	1701	1391
550	1703	1388
551	1705	1384
552	1708	1380
553	1711	1377
554	1715	1375
555	1717	1371
556	1720	1368
557	1722	1364
558	1725	1361
559	1727	1357
560	1730	1354
561	1734	1351
562	1736	1347
563	1739	1344
564	1741	1340
565	1743	1337
566	1747	1334
567	1749	1330
568	1752	1327
569	1754	1323
570	1756	1319
571	1759	1316
572	1762	1313
573	1765	1310
574	1767	1306
575	1770	1303
576	1772	1299
577	1775	1295
578	1778	1292
579	1780	1289
580	1783	1285
581	1785	1282
582	1787	1278
583	1790	1275
584	1792	1271
585	1795	1268
586	1798	1265
587	1800	1261
588	1803	1258
589	1805	1254
590	1808	1251
591	1811	1248
592	1814	1245
593	1817	1242
594	1819	1238
595	1821	1235
596	1824	1231
597	1827	1228
598	1831	1226
599	1834	1222
600	1836	1219
601	1839	1216
602	1842	1213
603	1846	1210
604	1848	1207
605	1851	1203
606	1853	1200
607	1856	1196
608	1859	1194
609	1862	1190
610	1864	1187
611	1867	1183
612	1869	1180
613	1872	1177
614	1875	1173
615	1877	1170
616	1879	1166
617	1882	1163
618	1884	1160
619	1887	1156
620	1889	1153
621	1892	1149
622	1894	1146
623	1896	1143
624	1899	1139
625	1907	1139
626	1910	1136
627	1912	1132
628	1914	1129
629	1917	1126
630	1920	1122
631	1923	1119
632	1925	1116
633	1928	1113
634	1930	1109
635	1933	1106
636	1935	1103
637	1938	1100
638	1941	1097
639	1944	1093
640	1946	1090
641	1948	1086
642	1951	1083
643	1955	1080
644	1957	1077
645	1960	1074
646	1962	1070
647	1964	1067
648	1968	1064
649	1971	1061
650	1973	1058
651	1976	1054
652	1978	1051
653	1981	1048
654	1984	1045
655	1986	1041
656	1989	1038
657	1991	1035
658	1994	1031
659	1996	1028
660	1999	1025
661	2002	1022
662	2005	1019
663	2007	1015
664	2009	1012
665	2012	1009
666	2014	1005
667	2017	1002
668	2020	999
669	2023	996
670	2026	993
671	2028	990
672	2031	987
673	2034	984
674	2038	981
675	2041	978
676	2044	975
677	2047	972
678	2050	969
679	2053	966
680	2056	963
681	2058	959
682	2061	956
683	2064	953
684	2067	950
685	2069	947
686	2071	943
687	2074	940
688	2076	937
689	2080	934
690	2082	931
691	2084	927
692	2087	924
693	2089	921
694	2092	918
695	2095	915
696	2098	912
697	2100	908
698	2103	905
699	2105	902
700	2108	899
701	2111	896
702	2114	893
703	2116	890
704	2119	886
705	2121	883
706	2123	880
707	2127	877
708	2129	874
709	2131	870
710	2134	867
711	2136	864
712	2138	860
713	2141	857
714	2145	855
715	2148	852
716	2150	848
717	2153	845
718	2155	842
719	2158	839
720	2161	836
721	2163	833
722	2165	829
723	2168	826
724	2170	823
725	2173	820
726	2176	817
727	2178	814
728	2181	810
729	2184	807
730	2186	804
731	2188	801
732	2192	798
733	2194	795
734	2196	792
735	2199	788
736	2201	785
737	2204	782
738	2207	779
739	2210	776
740	2212	773
741	2215	770
742	2218	767
743	2220	764
744	2223	761
745	2226	757
746	2228	754
747	2232	752
748	2235	748
749	2238	746
750	2242	743
751	2244	740
752	2247	737
753	2249	733
754	2251	730
755	2255	727
756	2257	724
757	2260	721
758	2262	718
759	2265	715
760	2267	712
761	2271	709
762	2273	706
763	2275	703
764	2278	699
765	2280	696
766	2283	693
767	2286	690
768	2289	687
769	2292	684
770	2295	681
771	2297	678
772	2300	675
773	2303	672
774	2305	669
775	2308	666
776	2310	663
777	2313	660
778	2315	657
779	2319	654
780	2321	650
781	2323	647
782	2326	644
783	2328	641
784	2331	638
785	2335	635
786	2337	632
787	2340	629
788	2342	626
789	2344	623
790	2347	620
791	2351	617
792	2354	614
793	2357	611
794	2359	608
795	2362	605
796	2365	602
797	2368	599
798	2370	596
799	2373	593
800	2375	590
801	2377	587
802	2380	584
803	2384	581
804	2386	578
805	2388	574
806	2391	571
807	2393	568
808	2396	565
809	2399	562
810	2401	559
811	2404	556
812	2406	553
813	2410	550
814	2413	547
815	2416	544
816	2418	541
817	2420	538
818	2424	535
819	2428	533
820	2432	530
821	2434	527
822	2437	524
823	2439	521
824	2442	518
825	2445	515
826	2449	512
827	2451	509
828	2453	506
829	2456	503
830	2459	500
831	2462	497
832	2464	494
833	2467	491
834	2469	488
835	2472	484
836	2474	481
837	2478	479
838	2480	476
839	2483	472
840	2485	469
841	2487	466
842	2490	463
843	2493	460
844	2496	457
845	2498	454
846	2500	451
847	2503	448
848	2506	445
849	2510	442
850	2512	439
851	2515	436
852	2517	433
853	2519	430
854	2522	427
855	2526	424
856	2528	421
857	2530	418
858	2533	415
859	2535	412
860	2538	409
861	2541	406
862	2544	403
863	2547	400
864	2549	397
865	2551	394
866	2554	391
867	2557	388
868	2560	385
869	2562	382
870	2564	379
871	2567	376
872	2569	373
873	2573	371
874	2576	368
875	2578	365
876	2580	361
877	2583	358
878	2585	355
879	2589	353
880	2591	350
881	2595	347
882	2597	344
883	2600	341
884	2603	338
885	2605	335
886	2608	332
887	2610	329
888	2613	326
889	2616	323
890	2620	320
891	2622	317
892	2625	314
893	2627	311
894	2631	308
895	2635	305
896	2639	303
897	2642	300
898	2644	297
899	2647	294
900	2650	291
901	2653	288
902	2656	285
903	2658	282
904	2660	279
905	2663	276
906	2666	273
907	2669	270
908	2672	267
909	2675	264
910	2677	261
911	2680	258
912	2683	255
913	2686	252
914	2688	249
915	2691	246
916	2693	243
917	2696	240
918	2699	237
919	2702	234
920	2704	231
921	2706	228
922	2709	226
923	2711	223
924	2715	220
925	2718	217
926	2720	214
927	2723	211
928	2725	208
929	2728	205
930	2732	202
931	2734	199
932	2736	196
933	2739	193
934	2742	190
935	2744	187
936	2748	184
937	2751	181
938	2753	178
939	2756	175
940	2758	172
941	2762	170
942	2765	167
943	2767	164
944	2770	161
945	2772	158
946	2774	155
947	2778	152
948	2780	149
949	2783	146
950	2785	143
951	2788	140
952	2790	137
953	2793	134
954	2796	131
955	2798	128
956	2801	125
957	2803	122
958	2806	119
959	2810	117
960	2812	114
961	2815	111
962	2817	108
963	2820	105
964	2824	102
965	2827	99
966	2829	96
967	2832	93
968	2834	90
969	2838	87
970	2844	84
971	2847	82
972	2850	79
973	2852	76
974	2855	73
975	2859	70
976	2862	67
977	2864	64
978	2867	61
979	2869	58
980	2873	55
981	2875	52
982	2877	49
983	2880	46
984	2882	43
985	2885	40
986	2888	38
987	2891	35
988	2893	32
989	2896	29
990	2898	26
991	2901	23
992	2904	20
993	2907	17
994	2909	14
995	2912	11
996	2914	8
997	2917	5
998	2920	2
999	2923	0
